Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Megamaser	"<p class=""mw-empty-elt""> </p> <p>A <b>megamaser</b> is a type of astrophysical maser, which is a naturally occurring source of stimulated spectral line emission. Megamasers are distinguished from other astrophysical masers by their large isotropic luminosity. Megamasers have typical luminosities of 10<sup>3</sup> solar luminosities (<var>L</var><sub>☉</sub>), which is 100 million times brighter than masers in the Milky Way, hence the prefix mega. Likewise, the term <b>kilomaser</b> is used to describe masers outside the Milky Way that have luminosities of order <var>L</var><sub>☉</sub>, or thousands of times stronger than the average maser in the Milky Way, <b>gigamaser</b> is used to describe masers billions of times stronger than the average maser in the Milky Way, and <b>extragalactic maser</b> encompasses all masers found outside the Milky Way. Most known extragalactic masers are megamasers, and the majority of megamasers are hydroxyl (OH) megamasers, meaning the spectral line being amplified is one due to a transition in the hydroxyl molecule. There are known megamasers for three other molecules: water (H<sub>2</sub>O), formaldehyde (H<sub>2</sub>CO), and methine (CH). </p><p>Water megamasers were the first type of megamaser discovered. The first water megamaser was found in 1979 in NGC 4945, a galaxy in the nearby Centaurus A/M83 Group. The first hydroxyl megamaser was found in 1982 in Arp 220, which is the nearest ultraluminous infrared galaxy to the Milky Way. All subsequent OH megamasers that have been discovered are also in luminous infrared galaxies, and there are a small number of OH kilomasers hosted in galaxies with lower infrared luminosities. Most luminous infrared galaxies have recently merged or interacted with another galaxy, and are undergoing a burst of star formation. Many of the characteristics of the emission in hydroxyl megamasers are distinct from that of hydroxyl masers within the Milky Way, including the amplification of background radiation and the ratio of hydroxyl lines at different frequencies. The population inversion in hydroxyl molecules is produced by far infrared radiation that results from absorption and re-emission of light from forming stars by surrounding interstellar dust. Zeeman splitting of hydroxyl megamaser lines may be used to measure magnetic fields in the masing regions, and this application represents the first detection of Zeeman splitting in a galaxy other than the Milky Way. </p><p>Water megamasers and kilomasers are found primarily associated with active galactic nuclei, while galactic and weaker extragalactic water masers are found in star forming regions. Despite different environments, the circumstances that produce extragalactic water masers do not seem to be very different from those that produce galactic water masers. Observations of water megamasers have been used to make accurate measurements of distances to galaxies in order to provide constraints on the Hubble constant. </p>"	a megamaser is a type of astrophysical maser which is a naturally occurring source of stimulated spectral line emission megamasers are distinguished from other astrophysical masers by their large isotropic luminosity megamasers have typical luminosities of 103 solar luminosities l☉ which is 100 million times brighter than masers in the milky way hence the prefix mega likewise the term kilomaser is used to describe masers outside the milky way that have luminosities of order l☉ or thousands of times stronger than the average maser in the milky way gigamaser is used to describe masers billions of times stronger than the average maser in the milky way and extragalactic maser encompasses all masers found outside the milky way most known extragalactic masers are megamasers and the majority of megamasers are hydroxyl oh megamasers meaning the spectral line being amplified is one due to a transition in the hydroxyl molecule there are known megamasers for three other molecules water h2o formaldehyde h2co and methine ch water megamasers were the first type of megamaser discovered the first water megamaser was found in 1979 in ngc 4945 a galaxy in the nearby centaurus am83 group the first hydroxyl megamaser was found in 1982 in arp 220 which is the nearest ultraluminous infrared galaxy to the milky way all subsequent oh megamasers that have been discovered are also in luminous infrared galaxies and there are a small number of oh kilomasers hosted in galaxies with lower infrared luminosities most luminous infrared galaxies have recently merged or interacted with another galaxy and are undergoing a burst of star formation many of the characteristics of the emission in hydroxyl megamasers are distinct from that of hydroxyl masers within the milky way including the amplification of background radiation and the ratio of hydroxyl lines at different frequencies the population inversion in hydroxyl molecules is produced by far infrared radiation that results from absorption and reemission of light from forming stars by surrounding interstellar dust zeeman splitting of hydroxyl megamaser lines may be used to measure magnetic fields in the masing regions and this application represents the first detection of zeeman splitting in a galaxy other than the milky way water megamasers and kilomasers are found primarily associated with active galactic nuclei while galactic and weaker extragalactic water masers are found in star forming regions despite different environments the circumstances that produce extragalactic water masers do not seem to be very different from those that produce galactic water masers observations of water megamasers have been used to make accurate measurements of distances to galaxies in order to provide constraints on the hubble constant	type of astrophysical maser with large isotropic luminosity	type of astrophysical maser with large isotropic luminosity	Astronomical_objects
Cosmic microwave background	"<p>The <b>cosmic microwave background</b> (<b>CMB, CMBR</b>), in Big Bang cosmology, is electromagnetic radiation which is a remnant from an early stage of the universe, also known as ""relic radiation"". The CMB is faint cosmic background radiation filling all space. It is an important source of data on the early universe because it is the oldest electromagnetic radiation in the universe, dating to the epoch of recombination. With a traditional optical telescope, the space between stars and galaxies (the background) is completely dark. However, a sufficiently sensitive radio telescope shows a faint background noise, or glow, almost isotropic, that is not associated with any star, galaxy, or other object. This glow is strongest in the microwave region of the radio spectrum. The accidental discovery of the CMB in 1965 by American radio astronomers Arno Penzias and Robert Wilson was the culmination of work initiated in the 1940s, and earned the discoverers the 1978 Nobel Prize in Physics. </p><p>CMB is landmark evidence of the Big Bang origin of the universe. When the universe was young, before the formation of stars and planets, it was denser, much hotter, and filled with an opaque fog of hydrogen plasma. As the universe expanded the plasma grew cooler and the radiation filling it expanded to longer wavelengths. When the temperature had dropped enough, protons and electrons combined to form neutral hydrogen atoms. Unlike the plasma, these newly conceived atoms could not scatter the thermal radiation by Thomson scattering, and so the universe became transparent. Cosmologists refer to the time period when neutral atoms first formed as the <i>recombination epoch</i>, and the event shortly afterwards when photons started to travel freely through space is referred to as photon decoupling. The photons that existed at the time of photon decoupling have been propagating ever since, though growing less energetic, since the expansion of space causes their wavelength to increase over time (and wavelength is inversely proportional to energy according to Planck's relation). This is the source of the alternative term <i>relic radiation</i>. The <i>surface of last scattering</i> refers to the set of points in space at the right distance from us so that we are now receiving photons originally emitted from those points at the time of photon decoupling. </p>"	the cosmic microwave background cmb cmbr in big bang cosmology is electromagnetic radiation which is a remnant from an early stage of the universe also known as relic radiation the cmb is faint cosmic background radiation filling all space it is an important source of data on the early universe because it is the oldest electromagnetic radiation in the universe dating to the epoch of recombination with a traditional optical telescope the space between stars and galaxies the background is completely dark however a sufficiently sensitive radio telescope shows a faint background noise or glow almost isotropic that is not associated with any star galaxy or other object this glow is strongest in the microwave region of the radio spectrum the accidental discovery of the cmb in 1965 by american radio astronomers arno penzias and robert wilson was the culmination of work initiated in the 1940s and earned the discoverers the 1978 nobel prize in physics cmb is landmark evidence of the big bang origin of the universe when the universe was young before the formation of stars and planets it was denser much hotter and filled with an opaque fog of hydrogen plasma as the universe expanded the plasma grew cooler and the radiation filling it expanded to longer wavelengths when the temperature had dropped enough protons and electrons combined to form neutral hydrogen atoms unlike the plasma these newly conceived atoms could not scatter the thermal radiation by thomson scattering and so the universe became transparent cosmologists refer to the time period when neutral atoms first formed as the recombination epoch and the event shortly afterwards when photons started to travel freely through space is referred to as photon decoupling the photons that existed at the time of photon decoupling have been propagating ever since though growing less energetic since the expansion of space causes their wavelength to increase over time and wavelength is inversely proportional to energy according to plancks relation this is the source of the alternative term relic radiation the surface of last scattering refers to the set of points in space at the right distance from us so that we are now receiving photons originally emitted from those points at the time of photon decoupling	type of thermal radiation; cosmic background radiation that is fundamental to observational cosmology because it is the oldest light in the universe, dating to the epoch of recombination	type of thermal radiation cosmic background radiation that is fundamental to observational cosmology because it is the oldest light in the universe dating to the epoch of recombination	Astronomical_objects
Cosmic noise	<p><b>Cosmic noise</b>, also known as <b>galactic radio noise</b>, is not actually sound, but a physical phenomenon derived from outside of the Earth's atmosphere. It can be detected through a radio receiver, which is an electronic device that receives radio waves and converts the information given by them to an audible form. Its characteristics are comparable to those of thermal noise. Cosmic noise occurs at frequencies above about 15 MHz when highly directional antennas are pointed toward the sun or other regions of the sky, such as the center of the Milky Way Galaxy. Celestial objects like quasars, which are super dense objects far from Earth, emit electromagnetic waves in their full spectrum, including radio waves. The fall of a meteorite can also be heard through a radio receiver; the falling object burns from friction with the Earth's atmosphere, ionizing surrounding gases and producing radio waves. Cosmic microwave background radiation (CMBR) from outer space is also a form of cosmic noise. CMBR is thought to be a relic of the Big Bang, and pervades the space almost homogeneously over the entire celestial sphere. The bandwidth of the CMBR is wide, though the peak is in the microwave range. </p>	cosmic noise also known as galactic radio noise is not actually sound but a physical phenomenon derived from outside of the earths atmosphere it can be detected through a radio receiver which is an electronic device that receives radio waves and converts the information given by them to an audible form its characteristics are comparable to those of thermal noise cosmic noise occurs at frequencies above about 15 mhz when highly directional antennas are pointed toward the sun or other regions of the sky such as the center of the milky way galaxy celestial objects like quasars which are super dense objects far from earth emit electromagnetic waves in their full spectrum including radio waves the fall of a meteorite can also be heard through a radio receiver the falling object burns from friction with the earths atmosphere ionizing surrounding gases and producing radio waves cosmic microwave background radiation cmbr from outer space is also a form of cosmic noise cmbr is thought to be a relic of the big bang and pervades the space almost homogeneously over the entire celestial sphere the bandwidth of the cmbr is wide though the peak is in the microwave range	random radio noise that originates outside the Earth's atmosphere	random radio noise that originates outside the earths atmosphere	Astronomical_objects
Microquasar	"<p>A <b>microquasar</b>, the smaller version of a quasar, is a compact region surrounding a stellar black hole with a mass several times that of its companion star. The matter being pulled from the companion star forms an accretion disk around the black hole. This accretion disk may become so hot, due to friction, that it begins to emit X-rays. The disk also projects narrow streams or ""jets"" of subatomic particles at near-light speed, generating a strong radio wave emission. </p>"	a microquasar the smaller version of a quasar is a compact region surrounding a stellar black hole with a mass several times that of its companion star the matter being pulled from the companion star forms an accretion disk around the black hole this accretion disk may become so hot due to friction that it begins to emit xrays the disk also projects narrow streams or jets of subatomic particles at nearlight speed generating a strong radio wave emission	subclass of X-ray binaries	subclass of xray binaries	Astronomical_objects
Radio galaxy	<p>A <b>radio galaxy</b> is a galaxy with giant regions of radio emission extending well beyond its visible structure. These energetic radio lobes are powered by jets from its active galactic nucleus. They have luminousities at radio wavelengths up to 10<sup>39</sup> W between 10 MHz and 100 GHz. The radio emission is due to the synchrotron process. The observed structure in radio emission is determined by the interaction between twin jets and the external medium, modified by the effects of relativistic beaming. The host galaxies are almost exclusively large elliptical galaxies. <i>Radio-loud</i> active galaxies can be detected at large distances, making them valuable tools for observational cosmology. Recently, much work has been done on the effects of these objects on the intergalactic medium, particularly in galaxy groups and clusters. </p>	a radio galaxy is a galaxy with giant regions of radio emission extending well beyond its visible structure these energetic radio lobes are powered by jets from its active galactic nucleus they have luminousities at radio wavelengths up to 1039 w between 10 mhz and 100 ghz the radio emission is due to the synchrotron process the observed structure in radio emission is determined by the interaction between twin jets and the external medium modified by the effects of relativistic beaming the host galaxies are almost exclusively large elliptical galaxies radioloud active galaxies can be detected at large distances making them valuable tools for observational cosmology recently much work has been done on the effects of these objects on the intergalactic medium particularly in galaxy groups and clusters	type of active galaxy that is very luminous at radio wavelengths	type of active galaxy that is very luminous at radio wavelengths	Astronomical_objects
Sagittarius A*	"<p class=""mw-empty-elt""> </p> <p><b>Sagittarius A*</b> (<span></span>), abbreviated <b>Sgr A*</b> (<span></span>) is the supermassive black hole at the Galactic Center of the Milky Way. It is located near the border of the constellations Sagittarius and Scorpius, about 5.6° south of the ecliptic, visually close to the Butterfly Cluster (M6) and Shaula. </p><p>The object is a bright and very compact astronomical radio source. The name Sagittarius A* follows from historical reasons. In 1954, John D. Kraus, Hsien-Ching Ko, and Sean Matt listed the radio sources they identified with the Ohio State University radio telescope at 250 MHz. The sources were arranged by constellation and the letter assigned to them was arbitrary, with A denoting the brightest radio source within the constellation. The asterisk was later assigned in 1982 by Robert L. Brown, who understood that the strongest radio emission from the center of the galaxy appeared to be due to a compact nonthermal radio object. The discovery was considered ""exciting"", and in atomic physics the nomenclature for excited state atoms is denoted with an asterisk (e.g. the excited state of Helium would be He*). </p><p>The observations of several stars orbiting Sagittarius A*, particularly star S2, have been used to determine the mass and upper limits on the radius of the object. Based on mass and increasingly precise radius limits, astronomers have concluded that Sagittarius A* must be the Milky Way's central supermassive black hole. The current value of its mass is 4.154 (± 0.014) million solar masses.</p><p>Reinhard Genzel and Andrea Ghez were awarded the 2020 Nobel Prize in Physics for their discovery that Sagittarius A* is a supermassive compact object, for which a black hole was the only plausible explanation at the time.</p><p>On May 12, 2022, astronomers, using the Event Horizon Telescope, released a photograph of Sagittarius A* produced using data from radio observations in April 2017, confirming the object to be a black hole. This is the second confirmed image of a black hole, after Messier 87's supermassive black hole in 2019.</p>"	sagittarius a abbreviated sgr a is the supermassive black hole at the galactic center of the milky way it is located near the border of the constellations sagittarius and scorpius about 56° south of the ecliptic visually close to the butterfly cluster m6 and shaula the object is a bright and very compact astronomical radio source the name sagittarius a follows from historical reasons in 1954 john d kraus hsienching ko and sean matt listed the radio sources they identified with the ohio state university radio telescope at 250 mhz the sources were arranged by constellation and the letter assigned to them was arbitrary with a denoting the brightest radio source within the constellation the asterisk was later assigned in 1982 by robert l brown who understood that the strongest radio emission from the center of the galaxy appeared to be due to a compact nonthermal radio object the discovery was considered exciting and in atomic physics the nomenclature for excited state atoms is denoted with an asterisk eg the excited state of helium would be he the observations of several stars orbiting sagittarius a particularly star s2 have been used to determine the mass and upper limits on the radius of the object based on mass and increasingly precise radius limits astronomers have concluded that sagittarius a must be the milky ways central supermassive black hole the current value of its mass is 4154 ± 0014 million solar massesreinhard genzel and andrea ghez were awarded the 2020 nobel prize in physics for their discovery that sagittarius a is a supermassive compact object for which a black hole was the only plausible explanation at the timeon may 12 2022 astronomers using the event horizon telescope released a photograph of sagittarius a produced using data from radio observations in april 2017 confirming the object to be a black hole this is the second confirmed image of a black hole after messier 87s supermassive black hole in 2019	the supermassive black hole at the center of the Milky Way Galaxy	the supermassive black hole at the center of the milky way galaxy	Astronomical_objects
Astronomical radio source	<p>An <b>astronomical radio source</b> is an object in outer space that emits strong radio waves. Radio emission comes from a wide variety of sources. Such objects are among the most extreme and energetic physical processes in the universe. </p>	an astronomical radio source is an object in outer space that emits strong radio waves radio emission comes from a wide variety of sources such objects are among the most extreme and energetic physical processes in the universe	object in outer space that emits strong radio waves	object in outer space that emits strong radio waves	Astronomical_objects
LB-1	"<p class=""mw-empty-elt""> </p> <p><b>LB-1</b> is a binary star system in the constellation Gemini. In 2019 a paper in <i>Nature</i> concluded that the system contained a ""monster"" black hole outside of ordinary single stellar evolution parameters. However, analyses in 2020 found the original 2019 conclusion to be incorrect. Some researchers now believe the system consists of a stripped B-type star and a massive rapidly rotating Be star.</p>"	lb1 is a binary star system in the constellation gemini in 2019 a paper in nature concluded that the system contained a monster black hole outside of ordinary single stellar evolution parameters however analyses in 2020 found the original 2019 conclusion to be incorrect some researchers now believe the system consists of a stripped btype star and a massive rapidly rotating be star	binary star system in the constellation Gemini	binary star system in the constellation gemini	Astronomical_objects
Sagittarius A	"<p><b>Sagittarius A</b> or <b>Sgr A</b> is a complex radio source at the center of the Milky Way which contains a supermassive black hole. It is located in the constellation Sagittarius, and is hidden from view at optical wavelengths by large clouds of cosmic dust in the spiral arms of the Milky Way. </p><p>It consists of three components: the supernova remnant <b>Sagittarius A East</b>, the spiral structure <b>Sagittarius A West</b>, and a very bright compact radio source at the center of the spiral, Sagittarius A* (""Sagittarius A-star""). These three overlap: Sagittarius A East is the largest, West appears off-center within East, and A* is at the center of West. </p>"	sagittarius a or sgr a is a complex radio source at the center of the milky way which contains a supermassive black hole it is located in the constellation sagittarius and is hidden from view at optical wavelengths by large clouds of cosmic dust in the spiral arms of the milky way it consists of three components the supernova remnant sagittarius a east the spiral structure sagittarius a west and a very bright compact radio source at the center of the spiral sagittarius a sagittarius astar these three overlap sagittarius a east is the largest west appears offcenter within east and a is at the center of west	Radio source at the center of the Milky Way galaxy	radio source at the center of the milky way galaxy	Astronomical_objects
Westerhout 5	"<p><b>Westerhout 5</b> (Sharpless 2-199, LBN 667, Soul Nebula) is an emission nebula located in Cassiopeia. Several small open clusters are embedded in the nebula: CR 34, 632, and 634 (in the head) and IC 1848 (in the body). The object is more commonly called by the cluster designation IC 1848. </p><p>Small emission nebula IC 1871 is present just left of the top of the head, and small emission nebulae 670 and 669 are just below the lower back area. </p><p>The galaxies Maffei 1 and Maffei 2 are both nearby the nebula, although light extinction from the Milky Way makes them very hard to see. Once thought to be part of the Local Group, they are now known to belong to their own group- the IC 342/Maffei Group. </p><p>This complex is the eastern neighbor of IC1805 (Heart Nebula) and the two are often mentioned together as the ""Heart and Soul"". </p> <ul class=""gallery mw-gallery-traditional""><li class=""gallerybox"" style=""width: 155px""> <li class=""gallerybox"" style=""width: 155px""> <li class=""gallerybox"" style=""width: 155px""> </ul>"	westerhout 5 sharpless 2199 lbn 667 soul nebula is an emission nebula located in cassiopeia several small open clusters are embedded in the nebula cr 34 632 and 634 in the head and ic 1848 in the body the object is more commonly called by the cluster designation ic 1848 small emission nebula ic 1871 is present just left of the top of the head and small emission nebulae 670 and 669 are just below the lower back area the galaxies maffei 1 and maffei 2 are both nearby the nebula although light extinction from the milky way makes them very hard to see once thought to be part of the local group they are now known to belong to their own group the ic 342maffei group this complex is the eastern neighbor of ic1805 heart nebula and the two are often mentioned together as the heart and soul	nebula in the constellation Cassiopeia	nebula in the constellation cassiopeia	Astronomical_objects
Double planet	"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096""> <p>In astronomy, a <b>double planet</b> (also <b>binary planet</b>) is a binary satellite system where both objects are planets, or planetary-mass objects, that share an orbital axis external to both planetary bodies. </p><p>Although up to a third of the star systems in the Milky Way are binary, double planets are expected to be much rarer given the typical planet to satellite mass ratio is around 1:10000, they are influenced heavily by the gravitational pull of the parent star and according to the Giant-impact hypothesis and are gravitationally stable only under particular circumstances. </p><p>Binary asteroids with components of roughly equal mass are sometimes referred to as double minor planets. These include binary asteroids 69230 Hermes and 90 Antiope and binary Kuiper belt objects (KBOs) 79360 Sila–Nunam and <span>1998 WW<span><span>31</span></span></span>. </p>"	in astronomy a double planet also binary planet is a binary satellite system where both objects are planets or planetarymass objects that share an orbital axis external to both planetary bodies although up to a third of the star systems in the milky way are binary double planets are expected to be much rarer given the typical planet to satellite mass ratio is around 110000 they are influenced heavily by the gravitational pull of the parent star and according to the giantimpact hypothesis and are gravitationally stable only under particular circumstances binary asteroids with components of roughly equal mass are sometimes referred to as double minor planets these include binary asteroids 69230 hermes and 90 antiope and binary kuiper belt objects kbos 79360 sila–nunam and 1998 ww31	informal term used to describe a planet with its moon	informal term used to describe a planet with its moon	Astronomical_objects
List of gravitational wave observations	<p>This is a list of observed/candidate gravitational wave events. Direct observation of gravitational waves, which commenced with the detection of an event by LIGO in 2015, constitutes part of gravitational wave astronomy. LIGO has played a role in all subsequent detections to date, with Virgo joining in August 2017. </p>	this is a list of observedcandidate gravitational wave events direct observation of gravitational waves which commenced with the detection of an event by ligo in 2015 constitutes part of gravitational wave astronomy ligo has played a role in all subsequent detections to date with virgo joining in august 2017	Wikimedia list article	wikimedia list article	Astronomical_objects
2MASS J11193254–1137466 AB	"<p> </p> <p><b>2MASS J11193254–1137466 AB</b> (often shortened to <b>2MASS J1119–1137 AB</b>) is a planetary mass binary located <span><span data-sort-value=""7001860000000000000♠""></span>86<span>±</span>23</span> light-years from the Earth in the constellation Crater. The components of 2MASS J1119–1137 are each roughly four Jupiter masses. The planetary-mass objects are probably a part of the TW Hydrae association which has an age of approximately 10 million years. The planetary-mass objects are candidate rogue planets. </p>"	2mass j11193254–1137466 ab often shortened to 2mass j1119–1137 ab is a planetary mass binary located 86±23 lightyears from the earth in the constellation crater the components of 2mass j1119–1137 are each roughly four jupiter masses the planetarymass objects are probably a part of the tw hydrae association which has an age of approximately 10 million years the planetarymass objects are candidate rogue planets	rogue exoplanet in the constellation Crater (the cup)	rogue exoplanet in the constellation crater the cup	Astronomical_objects
LB-1	"<p class=""mw-empty-elt""> </p> <p><b>LB-1</b> is a binary star system in the constellation Gemini. In 2019 a paper in <i>Nature</i> concluded that the system contained a ""monster"" black hole outside of ordinary single stellar evolution parameters. However, analyses in 2020 found the original 2019 conclusion to be incorrect. Some researchers now believe the system consists of a stripped B-type star and a massive rapidly rotating Be star.</p>"	lb1 is a binary star system in the constellation gemini in 2019 a paper in nature concluded that the system contained a monster black hole outside of ordinary single stellar evolution parameters however analyses in 2020 found the original 2019 conclusion to be incorrect some researchers now believe the system consists of a stripped btype star and a massive rapidly rotating be star	binary star system in the constellation Gemini	binary star system in the constellation gemini	Astronomical_objects
Black hole bomb	<p>A <b>black hole bomb</b> is the name given to a physical effect utilizing how a bosonic field impinging on a rotating black hole can be amplified through superradiant scattering. If the amplified field is reflected back towards the black hole, the amplification can be repeated, leading to a run-away growth of the field, i.e. an explosion. One way this reflection could be realized in nature is if the bosonic field has mass. The mass of the field can then cause the amplified modes to be trapped around the black hole, leading to an endless cycle of self-amplification. The mechanism by which the black hole bomb functions is called <b>superradiant instability</b>. It can also refer to one such method of creating such a runaway effect, a Penrose sphere with no means for energy to passively escape. </p>	a black hole bomb is the name given to a physical effect utilizing how a bosonic field impinging on a rotating black hole can be amplified through superradiant scattering if the amplified field is reflected back towards the black hole the amplification can be repeated leading to a runaway growth of the field ie an explosion one way this reflection could be realized in nature is if the bosonic field has mass the mass of the field can then cause the amplified modes to be trapped around the black hole leading to an endless cycle of selfamplification the mechanism by which the black hole bomb functions is called superradiant instability it can also refer to one such method of creating such a runaway effect a penrose sphere with no means for energy to passively escape	Physical effect when bosonic field impinging on a rotating black hole	physical effect when bosonic field impinging on a rotating black hole	Astronomical_objects
Brightest cluster galaxy	<p>A <b>brightest cluster galaxy</b> (<b>BCG</b>) is defined as the brightest galaxy in a cluster of galaxies. BCGs include the most massive galaxies in the universe. They are generally elliptical galaxies which lie close to the geometric and kinematical center of their host galaxy cluster, hence at the bottom of the cluster potential well. They are also generally coincident with the peak of the cluster X-ray emission.</p><p>Formation scenarios for BCGs include: </p> <ul><li>Cooling flow—Star formation from the central cooling flow in high density cooling centers of X-ray cluster halos.</li></ul><p>The study of accretion populations in BCGs has cast doubt over this theory and astronomers have seen no evidence of cooling flows in radiative cooling clusters. The two remaining theories exhibit healthier prospects. </p> <ul><li>Galactic cannibalism—Galaxies sink to the center of the cluster due to dynamical friction and tidal stripping.</li> <li>Galactic merger—Rapid galactic mergers between several galaxies take place during cluster collapse.</li></ul><p>It is possible to differentiate the cannibalism model from the merging model by considering the formation period of the BCGs. In the cannibalism model, there are numerous small galaxies present in the evolved cluster, whereas in the merging model, a hierarchical cosmological model is expected due to the collapse of clusters. It has been shown that the orbit decay of cluster galaxies is not effective enough to account for the growth of BCGs. The merging model is now generally accepted as the most likely one, but recent observations are at odds with some of its predictions. For example, it has been found that the stellar mass of BCGs was assembled much earlier than the merging model predicts.</p> <p>BCGs are divided into various classes of galaxies: giant ellipticals (gE), D galaxies and cD galaxies. cD and D galaxies both exhibit an extended diffuse envelope surrounding an elliptical-like nucleus akin to regular elliptical galaxies. The light profiles of BCGs are often described by a Sersic surface brightness law, a double Sersic profile or a de Vaucouleurs law. The different parametrizations of the light profile of BCG's, as well as the faintness of the diffuse envelope lead to discrepancies in the reported values of the sizes of these objects. </p>	a brightest cluster galaxy bcg is defined as the brightest galaxy in a cluster of galaxies bcgs include the most massive galaxies in the universe they are generally elliptical galaxies which lie close to the geometric and kinematical center of their host galaxy cluster hence at the bottom of the cluster potential well they are also generally coincident with the peak of the cluster xray emissionformation scenarios for bcgs include cooling flow—star formation from the central cooling flow in high density cooling centers of xray cluster halosthe study of accretion populations in bcgs has cast doubt over this theory and astronomers have seen no evidence of cooling flows in radiative cooling clusters the two remaining theories exhibit healthier prospects galactic cannibalism—galaxies sink to the center of the cluster due to dynamical friction and tidal stripping galactic merger—rapid galactic mergers between several galaxies take place during cluster collapseit is possible to differentiate the cannibalism model from the merging model by considering the formation period of the bcgs in the cannibalism model there are numerous small galaxies present in the evolved cluster whereas in the merging model a hierarchical cosmological model is expected due to the collapse of clusters it has been shown that the orbit decay of cluster galaxies is not effective enough to account for the growth of bcgs the merging model is now generally accepted as the most likely one but recent observations are at odds with some of its predictions for example it has been found that the stellar mass of bcgs was assembled much earlier than the merging model predicts bcgs are divided into various classes of galaxies giant ellipticals ge d galaxies and cd galaxies cd and d galaxies both exhibit an extended diffuse envelope surrounding an ellipticallike nucleus akin to regular elliptical galaxies the light profiles of bcgs are often described by a sersic surface brightness law a double sersic profile or a de vaucouleurs law the different parametrizations of the light profile of bcgs as well as the faintness of the diffuse envelope lead to discrepancies in the reported values of the sizes of these objects	brightest galaxy within a galaxy cluster	brightest galaxy within a galaxy cluster	Astronomical_objects
Spin-flip	<p>A <b>black hole spin-flip</b> occurs when the spin axis of a rotating black hole undergoes a sudden change in orientation due to absorption of a second (smaller) black hole. Spin-flips are believed to be a consequence of galaxy mergers, when two supermassive black holes form a bound pair at the center of the merged galaxy and coalesce after emitting gravitational waves. Spin-flips are significant astrophysically since a number of physical processes are associated with black hole spins; for instance, jets in active galaxies are believed to be launched parallel to the spin axes of supermassive black holes. A change in the rotation axis of a black hole due to a spin-flip would therefore result in a change in the direction of the jet. </p>	a black hole spinflip occurs when the spin axis of a rotating black hole undergoes a sudden change in orientation due to absorption of a second smaller black hole spinflips are believed to be a consequence of galaxy mergers when two supermassive black holes form a bound pair at the center of the merged galaxy and coalesce after emitting gravitational waves spinflips are significant astrophysically since a number of physical processes are associated with black hole spins for instance jets in active galaxies are believed to be launched parallel to the spin axes of supermassive black holes a change in the rotation axis of a black hole due to a spinflip would therefore result in a change in the direction of the jet	phenomenon where the spin axis of a rotating black hole suddenly changes from absorption of a second black hole	phenomenon where the spin axis of a rotating black hole suddenly changes from absorption of a second black hole	Astronomical_objects
Non-expanding horizon	<p>A <b>non-expanding horizon</b> (<b>NEH</b>) is an enclosed null surface whose intrinsic structure is preserved. An NEH is the geometric prototype of an isolated horizon which describes a black hole in equilibrium with its exterior from the quasilocal perspective. It is based on the concept and geometry of NEHs that the two quasilocal definitions of black holes, weakly isolated horizons and isolated horizons, are developed. </p>	a nonexpanding horizon neh is an enclosed null surface whose intrinsic structure is preserved an neh is the geometric prototype of an isolated horizon which describes a black hole in equilibrium with its exterior from the quasilocal perspective it is based on the concept and geometry of nehs that the two quasilocal definitions of black holes weakly isolated horizons and isolated horizons are developed	enclosed null surface whose intrinsic structure is preserved	enclosed null surface whose intrinsic structure is preserved	Astronomical_objects
Architectural terracotta	"<p><b>Architectural terracotta</b> refers to a fired mixture of clay and water that can be used in a non-structural, semi-structural, or structural capacity on the exterior or interior of a building. Terracotta pottery, as earthenware is called when not used for vessels, is an ancient building material that translates from Latin as ""baked earth"". Some architectural terracotta is actually the stronger stoneware. It can be unglazed, painted, slip glazed, or glazed. A piece of terracotta is composed of a hollow clay web enclosing a void space or cell. The cell can be installed in compression with mortar or hung with metal anchors. All cells are partially backfilled with mortar. </p><p>By the late 19th century the version with a ceramic glaze, namely glazed architectural terracotta became more popular. </p>"	architectural terracotta refers to a fired mixture of clay and water that can be used in a nonstructural semistructural or structural capacity on the exterior or interior of a building terracotta pottery as earthenware is called when not used for vessels is an ancient building material that translates from latin as baked earth some architectural terracotta is actually the stronger stoneware it can be unglazed painted slip glazed or glazed a piece of terracotta is composed of a hollow clay web enclosing a void space or cell the cell can be installed in compression with mortar or hung with metal anchors all cells are partially backfilled with mortar by the late 19th century the version with a ceramic glaze namely glazed architectural terracotta became more popular	ceramic construction material	ceramic construction material	Building
