Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Bookworm (insect)	"<p><b>Bookworm</b> is a general name for any insect that is said to bore through books.</p><p>The damage to books that is commonly attributed to ""bookworms"" is, in truth, not caused by any species of worm. Often, the larvae of various types of insects including beetles, moths and cockroaches, which may bore or chew through books seeking food, are responsible. Some such larvae exhibit a superficial resemblance to worms and are the likely inspiration for the term, though they are not true worms. In other cases, termites, carpenter ants, and woodboring beetles will first infest wooden bookshelves and later feed on books placed upon the shelves, attracted by the wood-pulp paper used in most commercial book production. </p><p>True book-borers are uncommon. The primary food sources for many ""bookworms"" are the leather or cloth bindings of a book, the glue used in the binding process, or molds and fungi that grow on or inside books. When the pages themselves are attacked, a gradual encroachment across the surface of one page or a small number of pages is typical, rather than the boring of holes through the entire book (see images on right).</p><p>The term has come to have a second, idiomatic use, indicative of a person who reads a great deal or to perceived excess: someone who devours books metaphorically. </p>"	case cockroach most number inspiration type commonly idiomatic used by surface book term deal are encroachment other who grow likely upon great infest bookshelf perceived leather shelf bookborers including for seeking many said will booksthe someone hole when that worm production later ant bookworm boring small page termite wooden metaphorically often food indicative such though they of themselves entire attributed carpenter attacked commercial which rightthe read is woodboring rather on bore damage source true inside fungi some resemblance binding moth insect cloth general mold a truth use placed primary may caused paper or not have person image and various one chew larva first attracted superficial gradual process excess uncommon second the come devours than to beetle feed typical any woodpulp responsible specie ha name across through exhibit see in glue	common name for any insect which bores through books	for which bore insect book name common through any	Written_communication
Owner's manual	"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096""> <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096""> <p>An <b>owner's manual</b> (also called an <b>instruction manual</b> or a <b>user guide</b>) is an instructional book or booklet that is supplied with almost all technologically advanced consumer products such as vehicles, home appliances and computer peripherals. Information contained in the owner's manual typically includes: </p> <ul><li>Safety instructions; for liability reasons these can be extensive, often including warnings against performing operations that are ill-advised for product longevity or overall user safety reasons.</li> <li>Assembly instructions; for products that arrive in pieces for easier shipping.</li> <li>Installation instructions; for products that need to be installed in a home or workplace.</li> <li>Setup instructions; for devices that keep track of time or which maintain user accessible state.</li> <li>Instructions for normal or intended operations.</li> <li>Programming instructions; for microprocessor controlled products such as VCRs, programmable calculators, and synthesizers.</li> <li>Maintenance instructions.</li> <li>Troubleshooting instructions; for when the product does not work as expected.</li> <li>Service locations; for when the product requires repair by a factory authorized technician.</li> <li>Regulatory code compliance information; for example with respect to safety or electromagnetic interference.</li> <li>Product technical specifications.</li> <li>Warranty information; sometimes provided as a separate sheet.</li></ul><p>Until the last decade or two of the twentieth century it was common for an owner's manual to include detailed repair information, such as a circuit diagram; however as products became more complex this information was gradually relegated to specialized service manuals, or dispensed with entirely, as devices became too inexpensive to be economically repaired. </p><p>Owner's manuals for simpler devices are often multilingual so that the same boxed product can be sold in many different markets. Sometimes the same manual is shipped with a range of related products so the manual will contain a number of sections that apply only to some particular model in the product range. </p><p>With the increasing complexity of modern devices, many owner's manuals have become so large that a separate quickstart guide is provided. Some owner's manuals for computer equipment are supplied on CD-ROM to cut down on manufacturing costs, since the owner is assumed to have a computer able to read the CD-ROM. Another trend is to supply instructional video material with the product, such as a videotape or DVD, along with the owner's manual. </p><p>Many businesses offer PDF copies of manuals that can be accessed or downloaded free of charge from their websites. </p>"	offer these instruction sometimes free number simpler programmable expected accessible more century electromagnetic time also able by book become are intended last controlled consumer charge large increasing manual apply warning vcr troubleshooting material from normal can wa an includes calculator include range this since doe too same be including installation longevity factory economically for location advanced complex many technologically code installed will respect pdf workplace when service repair that multilingual copy sheetuntil another related compliance cut almost typically specialized technical product authorized along often need such extensive two information dvd overall however supply website business entirely of section setup contained video trend which complexity illadvised warranty read is keep detailed separate so on guide booklet downloaded particular shipping equipment cost instructional it device modern appliance performing boxed decade quickstart specification piece track user vehicle microprocessor interference some accessed dispensed sold different easier maintain safety maintenance assumed state market requires technician supplied owner a manufacturing their all programming or provided gradually not example contain have relegated and down work computer shipped videotape arrive the against to called inexpensive common regulatory cdrom home circuit assembly only peripheral synthesizer operation repaired twentieth with reason liability diagram model became in	instructional book or booklet that is supplied with almost all technologically advanced consumer products	booklet all advanced supplied technologically product or book instructional is with almost that consumer	Written_communication
Medical certificate	<p>A <b>medical certificate</b> or <b>doctor's certificate</b> is a written statement from a physician or another medically qualified health care provider which attests to the result of a medical examination of a patient. It can serve as a <b>sick note</b> (documentation that an employee is unfit for work) or evidence of a health condition. For dance examinations it is a lot more than that. If there is a specific injury or an underlying health condition then a certificate from a specialist is needed. </p><p>An <b>aegrotat</b> (<span></span>; from Latin <i> aegrotat</i> 'he/she is ill') or 'sick note' is a type of medical certificate excusing a student's absence from school for reasons of illness. </p> 	for patient which underlying heshe student there or statement provider is then latin certificate care serve unfit more health that aegrotat type evidence if work another school documentation note medically written it physician specialist ill the condition lot dance than to absence examination qualified illness injury excusing from medical can needed an attests reason a of sick specific doctor result employee	written statement from a physician or other medically qualified health care provider which attests to the result of a medical examination	which statement or provider care health medically written physician the to other examination qualified from medical attests a of result	Written_communication
E-text	"<p><b>e-text</b> (from ""<i>electronic text</i>""; sometimes written as <b>etext</b>) is a general term for any document that is read in digital form, and especially a document that is mainly text. For example, a computer-based book of art with minimal text, or a set of photographs or scans of pages, would not usually be called an ""e-text"". An e-text may be a binary or a plain text file, viewed with any open source or proprietary software. An e-text may have markup or other formatting information, or not. An e-text may be an electronic edition of a work originally composed or published in other media, or may be created in electronic form originally. The term is usually synonymous with e-book. </p>"	for edition sometimes or read is minimal set not example composed that have digital and would work etext form electronic term book binary written source proprietary originally medium scan page the document other ebook called especially plain from viewed formatting file open usually information any text created an published mainly synonymous software with general photograph a of art be markup in may computerbased	any document that is read in digital form	document digital read form is in that any	Written_communication
Ephemera	"<p><b>Ephemera</b> are transitory creations not meant to be retained or preserved. The word has origins extending to Ancient Greece, although its current understanding was only established in the 20th century; then the presently sovereign definition was affixed: ""the minor transient documents of everyday life"". The categorisation of ephemera still remains ambiguous, and various interpretations have been offered. Menus, newspapers, postcards, posters, plastic champagne glasses, portable classrooms and stickers have all been described as ephemera. </p><p>The nature of ephemera is varied and vast, some having had production quantities of millions. Since the 15th century, following the printing revolution, ephemera has been a long-standing element of everyday life. Some ephemera are ornate in their design, acquiring prestige, whereas others are minimal and notably utilitarian. Although disposability is a recurring and emphasised characteristic of ephemera in virtually all definitions, the quality of paper differs. </p><p>Ephemera has long been collected, with certain instances of ephemera intended to be collected. Victorian families pasted their collections of ephemera in scrapbooks. Hobbyists and institutions were among later collectors. In the 20th century, collectors of ephemera published literature on the matter and began to congregate, thus bolstering the cultural notice of ephemera. These collectors steered the decision towards preserving ephemera, which is now ubiquitous in archives and library special collections. </p><p>Ephemera has received academic attention. It has been studied in of itself and viewed as a beneficial prospect to other fields. Various scholars have identified ephemera as illustrating or providing insight into diverse matters, such as those of a sociological, cultural or anthropological background. </p> "	remains beneficial these family longstanding academic instance presently had century plastic word preserving itself are illustrating intended insight studied characteristic background other library congregate cultural wa collection steered since understanding quantity hobbyist decision be quality menu nature were diverse scholar those collected attention minimal others current following production later meant million everyday among transient described scrapbook revolution categorisation certain still ambiguous 15th such sovereign been of thus extending received anthropological greece which poster then is vast pasted identified sticker literature newspaper field now on matter it postcard utilitarian minor institution origin ubiquitous life document having some providing transitory prestige viewed emphasised printing affixed a their definition ornate recurring virtually long special element all retained paper into or creation classroom not ancient sociological have began glass and various notably interpretation varied differs established towards although portable prospect whereas the notice to champagne archive acquiring only published 20th ephemera ha disposability bolstering with offered preserved collector in victorian design	Things that are meant to exist or be used for only a short time	for time used to short meant or a be are that only exist thing	Written_communication
Security printing	<p><b>Security printing</b> is the field of the printing industry that deals with the printing of items such as banknotes, cheques, passports, tamper-evident labels, security tapes, product authentication, stock certificates, postage stamps and identity cards. The main goal of security printing is to prevent forgery, tampering, or counterfeiting. More recently many of the techniques used to protect these high-value documents have become more available to commercial printers, whether they are using the more traditional offset and flexographic presses or the newer digital platforms. Businesses are protecting their lesser-value documents such as transcripts, coupons and prescription pads by incorporating some of the features listed below to ensure that they cannot be forged or that alteration of the data cannot occur undetected. </p><p>A number of technical methods are used in the security printing industry. Security printing is most often done on security paper, but it can also occur on plastic materials. </p> 	flexographic security these most number certificate more identity digital plastic protect also used pad by deal become forgery are newer technique lesservalue material can protecting press cheque counterfeiting method be many tampering that item card forged postage alteration technical product tamperevident industry often such they below business of label prevent incorporating undetected commercial passport whether prescription is traditional but offset on stamp it tape document feature some banknote stock authentication ensure printing goal transcript listed main done a their occur using paper or highvalue not have and data the to coupon available printer with recently platform in field	Printing of documents protected against counterfeiting	document against protected printing counterfeiting of	Written_communication
Idem sonans	"<p><i><b>Idem sonans</b></i> is a legal doctrine whereby a person's identity is presumed known despite the misspelling of his or her name. The presumption lies in the similarity between the phonology, or sounds of the correct name and the name as written. Such similar-sounding words are called a homonym, while similar-sounding phrases or names would be a holorime. </p><p>In Latin it means ""sounding the same."" Some examples are Seagrave/Segrave, Hutson/Hudson, Coonrad/Conrad, Keen/Keene, and Diadema/Deadema.</p>"	her whereby presumption keenkeene or sonans is latin example sound identity person and between would word idem while sounding it presumed written are known diademadeadema doctrine the coonradconrad his similarsounding called holorime some similarity lie phrase despite such legal misspelling phonology homonym seagravesegrave hutsonhudson name a same of correct be in mean	legal doctrine	legal doctrine	Written_communication
Ebla tablets	<p>The <b>Ebla tablets</b> are a collection of as many as 1,800 complete clay tablets, 4,700 fragments, and many thousands of minor chips found in the palace archives of the ancient city of Ebla, Syria. The tablets were discovered by Italian archaeologist Paolo Matthiae and his team in 1974–75 during their excavations at the ancient city at Tell Mardikh. The tablets, which were found <i>in situ</i> on collapsed shelves, retained many of their contemporary clay tags to help reference them. They all date to the period between c. 2500 BC and the destruction of the city c. 2250 BC. Today, the tablets are held in museums in the Syrian cities of Aleppo, Damascus, and Idlib. </p>	were excavation 1800 discovered paolo many found mardikh which retained all today 1974–75 chip ebla contemporary ancient matthiae situ tag held reference and on palace between bc by syria tablet thousand minor are archaeologist 4700 museum clay syrian the his to period archive team during complete date aleppo them 2500 damascus fragment collection tell italian at city they collapsed idlib help destruction a their shelf of in c 2250	collection of clay tablets from the ancient city of Ebla in Syria	collection the city syria tablet from of ebla ancient in clay	Written_communication
Tomos (Eastern Orthodox Church)	"<p>A <i><b>tomos</b></i> (Greek: <span lang=""el"">τόμος</span>, <small>romanized: </small><span title=""Greek-language romanization""><i lang=""el-Latn"">tomos</i></span>, <small>lit. </small>'section', 'part of', 'part which is cut') in the Eastern Orthodox Church is a decree of the head of a particular Eastern Orthodox church on certain matters (such as the level of dependence of an autonomous church from its mother church).</p><p>""Tomos"" is a Greek word; it can be literally translated as ""a section"". ""In the narrower meaning in Orthodox church terminology, a tomos is [...] a scroll or a small book, but one with a very specific purpose — it codifies a decision by a Holy Synod, or council of Orthodox bishops."" The translation of the word <i>tomos</i> in English is <i>document</i>.</p>"	which meaning very or translation is literally but english on word one churchtomos decree particular scroll codifies by book matter it greek cut dependence small the lit eastern church synod council certain document tomos mother bishop from such translated — part purpose head can an level narrower τόμος romanized autonomous terminology with decision a holy section of be specific in orthodox	Eastern Orthodox decree of the head of a particular church on certain matters	the eastern church on decree particular certain matter a of head orthodox	Written_communication
Document	"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096""> <p>A <b>document</b> is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content. The word originates from the Latin <i>Documentum</i>, which denotes a ""teaching"" or ""lesson"": the verb <i>doceō</i> denotes ""to teach"". In the past, the word was usually used to denote written proof useful as evidence of a truth or fact. In the computer age, ""document"" usually denotes a primarily textual computer file, including its structure and format, e.g. fonts, colors, and images. Contemporarily, ""document"" is not defined by its transmission medium, e.g., paper, given the existence of electronic documents. ""Documentation"" is distinct because it has more denotations than ""document"". Documents are also distinguished from ""realia"", which are three-dimensional objects that would otherwise satisfy the definition of ""document"" because they memorialize or represent thought; documents are considered more as 2-dimensional representations. While documents can have large varieties of customization, all documents can be shared freely and have the right to do so, creativity can be represented by documents, also. History, events, examples, opinions, etc. all can be expressed in documents. </p>"	lesson doceō presented more would fictional word customization also history used by object font medium are distinct large past fact well proof represent from shared right structure can wa useful drawn age eg including be denote etc thought teach that realia while because given written opinion 2dimensional freely memorialized often creativity file teaching they represented distinguished of which primarily latin is textual color memorialize originates so evidence expressed electronic documentum it document contemporarily event do usually threedimensional a definition truth considered manifestation all denotes paper or nonfictional not transmission example variety have image and documentation computer defined content the verb than to existence representation otherwise satisfy ha format in denotation	form for preservation of structured and identified information	for and form identified preservation of information structured	Written_communication
Outline (list)	"<p>An <b>outline</b>, also called a <b>hierarchical outline</b>, is a list arranged to show hierarchical relationships and is a type of tree structure. An outline is used to present the main points (in sentences) or topics (terms) of a given subject. Each item in an outline may be divided into additional sub-items. If an organizational level in an outline is to be sub-divided, it shall have at least two subcategories, as advised by major style manuals in current use. An outline may be used as a drafting tool of a document, or as a summary of the content of a document or of the knowledge in an entire field. It is not to be confused with the general context of the term ""outline"", which a summary or overview of a subject, presented verbally or written in prose (for example, <i>The Outline of History</i> is not an outline of the type presented below). The outlines described in this article are lists, and come in several varieties. </p><p>A sentence outline is a tool for composing a document, such as an essay, a paper, a book, or even an encyclopedia. It is a list used to organize the facts or points to be covered, and their order of presentation, by section. Topic outlines list the subtopics of a subject, arranged in levels, and while they can be used to plan a composition, they are most often used as a summary, such as in the form of a table of contents or the topic list in a college course's syllabus. </p><p>Outlines are further differentiated by the index prefixing used, or lack thereof. Many outlines include a numerical or alphanumerical prefix preceding each entry in the outline, to provide a specific path for each item, to aid in referring to and discussing the entries listed. An alphanumerical outline uses alternating letters and numbers to identify entries. A decimal outline uses only numbers as prefixes. An outline without prefixes is called a ""bare outline"". </p><p>Specialized applications of outlines also exist. A reverse outline is a list of sentences or topics that is created from an existing work, as a revision tool; it may show the gaps in the document's coverage so that they may be filled, and may help in rearranging sentences or topics to improve the structure and flow of the work. An integrated outline is a composition tool for writing scholastic works, in which the sources, and the writer's notes from the sources, are integrated into the outline for ease of reference during the writing process. </p><p>A software program designed for processing outlines is called an outliner. </p>"	plan order most number presented us type subject syllabus writer confused also history used by letter writing book prefixing term organize summary gap thereof improve are subtopics course decimal additional fact tree manual from structure can without an alternating include this point be sentence designed processing several for integrated advised context application arranged many entry filled hierarchical major current that item index aid verbally path each while subitems form given bare written described provide rearranging specialized college style prose scholastic often such two knowledge overview below they discussing even differentiated prefix help existing of section subcategories entire topic composition ease which article organizational covered outliner is identify alphanumerical so list numerical it source coverage revision reverse document tool shall presentation exist level at least lack main listed further general software a divided their use created may paper into or not present example variety have table reference and if encyclopedia work essay note process content subdivided the come to referring called flow during drafting show only composing preceding program relationship with specific in field outline	list arranged to show hierarchical relationships	list arranged to relationship hierarchical show	Written_communication
Relazione	<p><b>Relazioni</b> (Italian for reports or accounts; <i>singular</i> <b>relazione</b>) were the final reports presented by Venetian ambassadors of their service in foreign states. Relazioni contained descriptions of the current political, military, economic, and social conditions of the country visited. Relazioni are important to historians for recording the development of diplomacy in early modern Europe. </p> 	for final were relazioni ambassador economic or venetian presented service current recording and early description visited report by singular modern political foreign are country europe the condition important to social diplomacy historian italian state development relazione account their military of in contained	final reports presented by Venetian ambassadors of their service in foreign states	final state ambassador report by venetian their presented service of foreign in	Written_communication
